Id,predicted_class
1,1
2,1
3,1
4,3
5,1
6,1
7,3
8,1
9,1
10,3
11,1
12,2
13,1
14,3
15,3
16,1
17,1
18,3
19,3
20,1
21,2
22,2
23,3
24,3
25,1
26,1
27,1
28,1
29,3
30,3
31,3
32,2
33,3
34,1
35,1
36,3
37,3
38,3
39,3
40,1
41,1
42,1
43,1
44,1
45,3
46,3
47,1
48,1
49,2
50,3
51,3
52,1
53,1
54,1
55,1
56,3
57,2
58,3
59,1
60,1
61,3
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,3
70,3
71,1
72,2
73,1
74,1
75,1
76,1
77,1
78,3
79,1
80,1
81,1
82,3
83,1
84,1
85,3
86,1
87,3
88,1
89,1
90,1
91,3
92,3
93,1
94,3
95,2
96,1
97,3
98,1
99,3
100,3
101,1
102,1
103,1
104,3
105,3
106,1
107,1
108,1
109,1
110,1
111,1
112,3
113,1
114,1
115,2
116,3
117,1
118,3
119,1
120,1
121,1
122,2
123,1
124,1
125,3
126,1
127,3
128,3
129,1
130,1
131,1
132,1
133,1
134,3
135,1
136,2
137,1
138,3
139,1
140,1
141,1
142,1
143,3
144,1
145,1
146,3
147,1
148,1
149,1
150,3
151,1
152,1
153,1
154,1
155,1
156,3
157,2
158,3
159,3
160,1
161,1
162,1
163,1
164,1
165,1
166,3
167,1
168,3
169,1
170,3
171,3
172,1
173,3
174,3
175,1
176,1
177,1
178,3
179,3
180,3
181,3
182,1
183,1
184,3
185,1
186,1
187,1
188,1
189,1
190,3
191,3
192,3
193,3
194,1
195,1
196,3
197,2
198,1
199,1
200,3
201,3
202,1
203,1
204,3
205,3
206,1
207,1
208,3
209,3
210,1
211,3
212,1
213,1
214,3
215,1
216,3
217,3
218,1
219,1
220,1
221,3
222,1
223,3
224,1
225,3
226,3
227,1
228,3
229,1
230,1
231,1
232,1
233,3
234,1
235,1
236,3
237,1
238,3
239,1
240,3
241,1
242,1
243,3
244,1
245,3
246,3
247,1
248,3
249,1
250,3
251,3
252,1
253,3
254,1
255,1
256,1
257,3
258,1
259,1
260,1
261,1
262,1
263,3
264,3
265,3
266,3
267,3
268,2
269,1
270,1
271,1
272,3
273,1
274,1
275,1
276,1
277,2
278,3
279,1
280,3
281,3
282,1
283,2
284,1
285,1
286,1
287,1
288,1
289,3
290,3
291,1
292,3
293,1
294,1
295,3
296,2
297,1
298,1
299,1
300,3
301,1
302,3
303,1
304,1
305,3
306,1
307,3
308,3
309,1
310,1
311,3
312,3
313,1
314,1
315,1
316,1
317,3
318,1
319,1
320,3
321,3
322,1
323,1
324,1
325,3
326,1
327,1
328,1
329,1
330,1
331,3
332,3
333,1
334,1
335,3
336,1
337,1
338,3
339,1
340,1
341,1
342,1
343,1
344,3
345,1
346,1
347,1
348,2
349,3
350,3
351,2
352,1
353,3
354,1
355,2
356,1
357,3
358,3
359,1
360,1
361,1
362,1
363,1
364,1
365,3
366,3
367,1
368,1
369,1
370,1
371,1
372,3
373,3
374,3
375,1
376,1
377,3
378,1
379,3
380,1
381,3
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,2
392,1
393,3
394,1
395,1
396,3
397,1
398,1
399,3
400,1
401,1
402,3
403,1
404,3
405,1
406,1
407,3
408,1
409,1
410,1
411,1
412,1
413,3
414,1
415,1
416,1
417,1
418,1
419,3
420,1
421,1
422,1
423,1
424,3
425,1
426,1
427,1
428,3
429,3
430,3
431,3
432,3
433,1
434,3
435,1
436,3
437,1
438,1
439,1
440,1
441,1
442,3
443,1
444,1
445,3
446,1
447,3
448,1
449,1
450,1
451,1
452,1
453,3
454,1
455,3
456,1
457,3
458,2
459,1
460,3
461,1
462,1
463,1
464,3
465,1
466,3
467,3
468,3
469,1
470,3
471,1
472,2
473,1
474,1
475,1
476,1
477,1
478,3
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,3
489,3
490,1
491,3
492,1
493,1
494,1
495,1
496,1
497,3
498,1
499,2
500,1
501,3
502,1
503,3
504,1
505,1
506,3
507,1
508,3
509,1
510,3
511,1
512,1
513,1
514,3
515,2
516,1
517,1
518,1
519,1
520,1
521,2
522,1
523,3
524,2
525,1
526,3
527,3
528,1
529,3
530,3
531,3
532,1
533,1
534,3
535,3
536,1
537,3
538,1
539,3
540,3
541,1
542,3
543,3
544,1
545,3
546,1
547,1
548,3
549,1
550,1
551,1
552,3
553,3
554,1
555,3
556,1
557,3
558,3
559,3
560,1
561,2
562,1
563,1
564,2
565,1
566,1
567,3
568,1
569,1
570,1
571,1
572,1
573,1
574,3
575,1
576,3
577,1
578,1
579,3
580,2
581,1
582,1
583,3
584,3
585,1
586,1
587,1
588,3
589,1
590,1
591,3
592,1
593,1
594,2
595,1
596,3
597,1
598,1
599,3
600,3
601,1
