,predicted_class
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,1
12,3
13,1
14,3
15,3
16,3
17,1
18,3
19,3
20,3
21,3
22,3
23,1
24,1
25,3
26,1
27,1
28,3
29,1
30,3
31,3
32,1
33,3
34,1
35,1
36,3
37,3
38,3
39,3
40,1
41,1
42,1
43,1
44,3
45,3
46,3
47,3
48,3
49,3
50,1
51,3
52,1
53,1
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,1
63,1
64,3
65,1
66,3
67,3
68,3
69,3
70,3
71,1
72,3
73,3
74,3
75,1
76,3
77,1
78,3
79,1
80,1
81,1
82,3
83,3
84,1
85,3
86,1
87,3
88,3
89,1
90,1
91,1
92,3
93,1
94,3
95,3
96,1
97,3
98,3
99,3
100,3
101,1
102,3
103,1
104,3
105,3
106,1
107,3
108,3
109,1
110,1
111,1
112,3
113,1
114,1
115,3
116,3
117,3
118,3
119,1
120,1
121,3
122,3
123,3
124,1
125,3
126,3
127,3
128,3
129,1
130,1
131,3
132,1
133,1
134,1
135,1
136,1
137,3
138,3
139,1
140,3
141,3
142,1
143,3
144,1
145,1
146,3
147,3
148,1
149,1
150,3
151,3
152,1
153,1
154,1
155,1
156,3
157,3
158,3
159,3
160,1
161,1
162,1
163,1
164,3
165,1
166,3
167,3
168,3
169,1
170,3
171,3
172,3
173,3
174,3
175,3
176,1
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,1
186,1
187,1
188,3
189,1
190,3
191,3
192,3
193,3
194,3
195,3
196,1
197,3
198,3
199,3
200,3
201,3
202,1
203,1
204,1
205,3
206,1
207,1
208,3
209,1
210,3
211,3
212,1
213,1
214,3
215,3
216,3
217,3
218,1
219,3
220,3
221,3
222,1
223,3
224,1
225,3
226,1
227,3
228,3
229,1
230,1
231,1
232,1
233,3
234,1
235,1
236,1
237,3
238,3
239,3
240,3
241,1
242,1
243,3
244,1
245,3
246,3
247,1
248,3
249,3
250,3
251,3
252,1
253,1
254,1
255,1
256,3
257,3
258,3
259,1
260,1
261,1
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,1
270,1
271,1
272,1
273,1
274,3
275,3
276,1
277,3
278,3
279,1
280,3
281,3
282,1
283,3
284,1
285,1
286,3
287,3
288,1
289,3
290,3
291,3
292,3
293,1
294,1
295,3
296,3
297,3
298,1
299,3
300,3
301,1
302,3
303,1
304,1
305,3
306,1
307,3
308,3
309,3
310,1
311,3
312,3
313,3
314,3
315,1
316,1
317,3
318,3
319,1
320,3
321,3
322,1
323,1
324,1
325,3
326,1
327,3
328,3
329,1
330,3
331,1
332,3
333,1
334,1
335,3
336,3
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,1
357,3
358,3
359,1
360,1
361,3
362,1
363,3
364,1
365,3
366,3
367,1
368,1
369,3
370,1
371,1
372,3
373,3
374,1
375,1
376,3
377,1
378,3
379,3
380,3
381,1
382,1
383,3
384,3
385,1
386,3
387,3
388,1
389,1
390,1
391,3
392,1
393,3
394,1
395,1
396,1
397,3
398,1
399,1
400,1
401,1
402,3
403,1
404,3
405,1
406,1
407,3
408,1
409,1
410,1
411,1
412,1
413,3
414,1
415,1
416,1
417,3
418,1
419,3
420,3
421,1
422,1
423,1
424,3
425,1
426,1
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,1
436,3
437,1
438,3
439,1
440,1
441,3
442,3
443,1
444,1
445,3
446,3
447,3
448,1
449,1
450,3
451,1
452,1
453,3
454,3
455,1
456,1
457,3
458,3
459,3
460,3
461,1
462,3
463,1
464,3
465,1
466,3
467,3
468,3
469,3
470,3
471,3
472,3
473,1
474,3
475,1
476,1
477,1
478,3
479,1
480,1
481,3
482,1
483,1
484,1
485,1
486,3
487,1
488,3
489,3
490,1
491,3
492,1
493,1
494,3
495,1
496,1
497,3
498,3
499,3
500,1
501,3
502,1
503,3
504,1
505,3
506,3
507,1
508,3
509,3
510,3
511,1
512,1
513,1
514,3
515,3
516,3
517,3
518,1
519,1
520,1
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,1
529,1
530,3
531,3
532,3
533,1
534,3
535,3
536,1
537,3
538,1
539,3
540,3
541,1
542,3
543,3
544,1
545,3
546,1
547,3
548,3
549,1
550,1
551,1
552,3
553,3
554,1
555,3
556,3
557,3
558,3
559,1
560,1
561,3
562,3
563,3
564,3
565,1
566,1
567,3
568,3
569,1
570,1
571,1
572,3
573,1
574,3
575,1
576,3
577,3
578,1
579,3
580,3
581,3
582,1
583,1
584,3
585,1
586,1
587,1
588,3
589,3
590,1
591,3
592,1
593,1
594,3
595,1
596,3
597,3
598,1
599,3
600,3
601,1
602,1
603,3
604,1
605,3
606,3
607,3
608,1
609,1
610,1
611,3
612,1
613,3
614,3
