

Result: Activation softplus Hidden layers 3 H_units 100 Lrate 0.005 LAMBDA 4 Epochs 1000 Batch Size 100 Training Loss: 0.4396455701930929


Train : Loss 0.4156428647993323 Acc 0.715 

Valid : Loss 0.4206334585108312 Acc 0.716875 

expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 2 actual : 3
expected : 2 actual : 2
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 2 actual : 3
expected : 3 actual : 3
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 3 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 3
expected : 1 actual : 1
expected : 3 actual : 3
expected : 3 actual : 3
expected : 3 actual : 3
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 1
expected : 3 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 2 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 2 actual : 1
expected : 1 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 3
expected : 1 actual : 1
expected : 3 actual : 3
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 2
expected : 1 actual : 3
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 1
expected : 1 actual : 3
expected : 1 actual : 1
expected : 3 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 3
expected : 1 actual : 3
expected : 2 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 3 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 3 actual : 1
expected : 2 actual : 1
expected : 1 actual : 1
expected : 2 actual : 2
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 2 actual : 2
expected : 3 actual : 2
expected : 2 actual : 2
expected : 2 actual : 3
expected : 3 actual : 3
expected : 3 actual : 3
expected : 2 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 2
expected : 2 actual : 3
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 2 actual : 1
expected : 3 actual : 1
expected : 1 actual : 1
expected : 2 actual : 3
expected : 1 actual : 1
expected : 2 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 2 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 2 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
expected : 1 actual : 1
expected : 3 actual : 3
expected : 1 actual : 1
